item_key,merchant,web_categories,l1,l2,l3,gender,primary_fop,sub_sport,l1_validated,l2_validated,l3_validated,gender_validated,primary_fop_validated,sub_sport_validated,corrected_columns,reasoning
"macys_all_activewear____adidas_women's essentials warm-up slim tapered 3-stripes track pants, xs-4x",macys,all > activewear >  >  > ,Apparel,Bottoms,Baselayer Bottoms,Men's,basketball,,Apparel,Bottoms,Pants,Women's,sportswear,,"[""l3"", ""gender"", ""primary_fop""]","The product is 'adidas women's essentials warm-up slim tapered 3-stripes track pants', indicating it is a pair of pants, not baselayer bottoms. The gender is 'Women's' based on the product name. The primary FoP should be 'sportswear' as it is a casual track pant, not specific to basketball."
lululemon_women's clothes_shirts_tank tops_lululemon_cool racerback ii *luon,lululemon,women's clothes > shirts > tank tops,Apparel,Tops,,Women's,golf,,Apparel,Tops,Athletic Shirts & Tees,Women's,training,yoga,"[""l3"", ""primary_fop"", ""sub_sport""]","The product is a tank top from Lululemon, which fits the 'Athletic Shirts & Tees' category for L3. The primary FoP should be 'training' with a sub-sport of 'yoga' due to Lululemon's focus on yoga and studio practice apparel. The current classification of 'golf' is incorrect."
"target_clothing, shoes & accessories_toddler clothing_toddler boys' clothing_tops_cat & jack_toddler boys' long sleeve jersey pocket t-shirt - cat & jack",target,"clothing, shoes & accessories > toddler clothing > toddler boys' clothing > tops",Apparel,Tops,,Kids,baseball,,Apparel,Tops,Athletic Shirts & Tees,Kids,sportswear,,"[""l3"", ""primary_fop""]","The product is a toddler boys' long sleeve jersey pocket t-shirt, which fits the L3 category 'Athletic Shirts & Tees' under L2 'Tops'. The primary FoP should be 'sportswear' as it is a casual, everyday wear item, not specific to baseball."
champs_sports_shoes_casual sneakers_casual tennis sneakers_adidas_adidas originals gazelle indoor - women's,champs_sports,shoes > casual sneakers > casual tennis sneakers,Apparel,Other Apparel,,Men's,swimming,,Footwear,,,Women's,sportswear,sportswear_tennis,"[""l1"", ""gender"", ""primary_fop"", ""sub_sport""]","The product is a casual tennis sneaker, which falls under Footwear, not Apparel. The gender should be Women's based on the item key. The primary FoP should be sportswear with a sub-sport of sportswear_tennis, as the Adidas Gazelle is a lifestyle tennis-inspired shoe."
nordstrom_men_all men's shoes_rockport_mens act s:cloudswift:rock/ turme,nordstrom,men > all men's shoes,Footwear,,,Men's,american_football,cross_training,Footwear,,,Men's,walking,,"[""primary_fop"", ""sub_sport""]","The product is a Rockport men's shoe, which is typically associated with walking shoes. The current classification of 'american_football' and 'cross_training' is incorrect as these do not align with the typical use case for Rockport shoes. The correct primary FoP should be 'walking', and there is no applicable sub-sport for this category."
academy_sports_apparel_womens apparel_womens skorts_bcg_bcg women's taped tennis skort,academy_sports,apparel > womens apparel > womens skorts,Apparel,Bottoms,Skirts,Women's,tennis,,Apparel,Bottoms,Skirts,Women's,tennis,,[],"The current classifications are correct based on the product being a women's tennis skort, which fits the L1, L2, L3, and gender categories. The primary FoP is correctly identified as tennis, and there is no applicable sub-sport for tennis apparel."
dicks_sporting_goods_athletic clothing_men's clothing_men's shirts & tops_shirts & tops_carhartt_carhartt men's garment dye hoodie,dicks_sporting_goods,athletic clothing > men's clothing > men's shirts & tops > shirts & tops,Apparel,Tops,,Men's,sportswear,,Apparel,Tops,Fleece Tops,Men's,sportswear,,"[""l3""]","The product is a hoodie, which falls under 'Fleece Tops' in the L3 category for 'Tops'. The current L3 classification is null, so it needs to be updated to 'Fleece Tops'."
foot_locker_shoes_casual sneakers_casual sneakers_nike_nike air vapormax flyknit 2021 - women's,foot_locker,shoes > casual sneakers > casual sneakers,Apparel,Dresses,,Women's,training,,Footwear,,,Women's,sportswear,sportswear_running,"[""l1"", ""l2"", ""primary_fop"", ""sub_sport""]","The product is a Nike Air VaporMax Flyknit 2021, which is a type of footwear, not apparel. The web categories indicate it is a casual sneaker, aligning with the sportswear FoP. The sub-sport 'sportswear_running' is appropriate as the VaporMax is a running-inspired lifestyle shoe. Gender remains 'Women's' as indicated."
lululemon_shoes_lululemon_women's strongfeel training shoe,lululemon,shoes,Footwear,,,Women's,basketball,cross_training,Footwear,,,Women's,training,cross_training,"[""primary_fop""]","The product is a training shoe from Lululemon, which aligns with the 'training' FoP rather than 'basketball'. The sub-sport 'cross_training' is appropriate for a training shoe."
champs_sports_shoes_casual sneakers_casual running sneakers_nike_nike air max 270 - women's,champs_sports,shoes > casual sneakers > casual running sneakers,Footwear,,,Women's,running,road_running,Footwear,,,Women's,sportswear,sportswear_running,"[""primary_fop"", ""sub_sport""]","The Nike Air Max 270 is a lifestyle/casual running-inspired sneaker, not a performance running shoe. Therefore, the correct FoP is 'sportswear' with a sub-sport of 'sportswear_running'. The current classification incorrectly identified it as 'running' with 'road_running' sub-sport, which is for performance running shoes."
foot_locker_shoes_sandals_sandals_nike_nike victori one slides - men's,foot_locker,shoes > sandals > sandals,Apparel,Other Apparel,,Men's,volleyball,,Footwear,,,Men's,slides,,"[""l1"", ""l2"", ""primary_fop""]","The product is a pair of slides, which falls under Footwear, not Apparel. The primary FoP should be 'slides' as it is a slide-on sandal, not 'volleyball'. L2 is not applicable for Footwear."
"costco_clothing, luggage & handbags_spdr ss tee",costco,"clothing, luggage & handbags",Apparel,Tops,,Unisex/Undefined,running,,Apparel,Tops,Athletic Shirts & Tees,Unisex/Undefined,sportswear,,"[""l3"", ""primary_fop""]","The item 'spdr ss tee' suggests a short sleeve tee, which fits the L3 category 'Athletic Shirts & Tees'. The web categories 'clothing, luggage & handbags' do not indicate a specific sport, so 'sportswear' is more appropriate for the Primary FoP than 'running', as it is likely a casual or lifestyle tee."
lululemon_shoes_lululemon_women's cityverse sneaker,lululemon,shoes,Footwear,,,Women's,training,yoga,Footwear,,,Women's,sportswear,sportswear_other,"[""primary_fop"", ""sub_sport""]","The product is a sneaker from Lululemon, which is typically categorized under sportswear for lifestyle/casual wear. The current classification of 'training' and 'yoga' is incorrect as these are not performance-specific shoes. The gender classification remains correct as 'Women's'."
dicks_sporting_goods_shoes_women's shoes_women's athletic & sneakers_athletic shoes_women's_new balance_new balance 480 shoes,dicks_sporting_goods,shoes > women's shoes > women's athletic & sneakers > athletic shoes > women's,Footwear,,,Women's,basketball,cross_training,Footwear,,,Women's,sportswear,sportswear_basketball,"[""primary_fop"", ""sub_sport""]","The product is a New Balance 480 shoe, which is a lifestyle basketball-inspired sneaker, not a performance basketball shoe. Therefore, the correct primary FoP is 'sportswear' with a sub-sport of 'sportswear_basketball'. The current classification of 'basketball' and 'cross_training' is incorrect for this type of shoe."
abercrombie_and_fitch_boys_knits_abercrombie kids_essential long-sleeve icon crew tee,abercrombie_and_fitch,boys > knits,Apparel,Tops,,Men's,field_hockey,,Apparel,Tops,Athletic Shirts & Tees,Kids,sportswear,,"[""l3"", ""gender"", ""primary_fop""]","The item is a long-sleeve crew tee for boys, which fits the 'Athletic Shirts & Tees' category under L3 for Tops. The gender should be 'Kids' based on the web category 'boys'. The primary FoP should be 'sportswear' as it is an essential tee, likely for casual wear, not field hockey."
dicks_sporting_goods_shoes_men's shoes_shoe accessories_insoles_spenco_spenco ground control low arch insoles,dicks_sporting_goods,shoes > men's shoes > shoe accessories > insoles,Footwear,,,Men's,training,training_other,None,,,Men's,,,"[""l1"", ""primary_fop"", ""sub_sport""]","The product is an insole, which falls under 'None' for L1 as it is an accessory, not apparel or footwear. The primary FoP and sub-sport are not applicable for insoles, so they should be null."
hoka_shoes_hoka_kaha 2 gtx,hoka,shoes,Footwear,,,Unisex/Undefined,basketball,performance_basketball,Footwear,,,Unisex/Undefined,hiking,,"[""primary_fop"", ""sub_sport""]","The product 'hoka_shoes_hoka_kaha 2 gtx' is a hiking shoe, as indicated by the 'GTX' (GORE-TEX) in the name, which is a common feature in hiking footwear. The current classification of 'basketball' and 'performance_basketball' is incorrect. The correct primary FoP is 'hiking', and there is no applicable sub-sport for hiking."
scheels_sneakers & athletic shoes_new balance_women's new balance fresh foam velo v4 softball shoes,scheels,sneakers & athletic shoes,Footwear,,,Kids,baseball,cross_training,Footwear,,,Women's,softball,,"[""gender"", ""primary_fop"", ""sub_sport""]","The product is a women's softball shoe, not a kids' baseball shoe. The gender should be 'Women's' based on the item description. The primary FoP should be 'softball' as the product is specifically for softball, not baseball or cross-training. Sub-sport is not applicable for softball."
"target_clothing, shoes & accessories_women's clothing_tops_t-shirts_wild fable_women's short sleeve t-shirt - wild fable",target,"clothing, shoes & accessories > women's clothing > tops > t-shirts",Apparel,Tops,,Women's,field_hockey,,Apparel,Tops,Athletic Shirts & Tees,Women's,sportswear,,"[""l3"", ""primary_fop""]","The product is a women's short sleeve t-shirt, which fits the L3 category 'Athletic Shirts & Tees' under L2 'Tops'. The primary FoP should be 'sportswear' as it is a casual t-shirt, not specific to field hockey."
kids_foot_locker_shoes_casual sneakers_casual sneakers_jordan_jordan air jordan 1 mid - girls' grade school,kids_foot_locker,shoes > casual sneakers > casual sneakers,Footwear,,,Men's,walking,,Footwear,,,Kids,sportswear,sportswear_basketball,"[""gender"", ""primary_fop"", ""sub_sport""]","The product is a 'Jordan Air Jordan 1 Mid - Girls' Grade School', which indicates it is targeted at kids, not men. Therefore, the gender should be 'Kids'. The Air Jordan 1 is a basketball-inspired lifestyle sneaker, so the primary FoP should be 'sportswear' with a sub-sport of 'sportswear_basketball'."
kohls_mens_clothing_tops_tops & tees_nike_nike_men's nike therma-fit graphic training hoodie,kohls,mens > clothing > tops > tops & tees > nike,Apparel,Tops,,Men's,soccer,,Apparel,Tops,Fleece Tops,Men's,training,cross_training,"[""l3"", ""primary_fop"", ""sub_sport""]","The product is a 'Nike Therma-FIT Graphic Training Hoodie', which fits the L3 category 'Fleece Tops' due to the 'Therma-FIT' and 'hoodie' signals. The primary FoP should be 'training' with a sub-sport of 'cross_training' as it is a training hoodie, not soccer-specific."
kids_foot_locker_shoes_casual sneakers_casual basketball sneakers_jordan_jordan air jordan 1 mid - girls' grade school,kids_foot_locker,shoes > casual sneakers > casual basketball sneakers,Footwear,,,Kids,basketball,training_other,Footwear,,,Kids,sportswear,sportswear_basketball,"[""primary_fop"", ""sub_sport""]","The product is a casual basketball sneaker, specifically the Jordan Air Jordan 1 Mid, which falls under the 'sportswear' category for footwear. The sub-sport should be 'sportswear_basketball' as it is a basketball-inspired lifestyle sneaker. The current classification of 'training_other' is incorrect for this product."
"target_clothing, shoes & accessories_women's clothing_tops_tank tops_wild fable_women's graphic cami - wild fable",target,"clothing, shoes & accessories > women's clothing > tops > tank tops",Apparel,Tops,,Women's,lacrosse,,Apparel,Tops,Graphic Tees,Women's,sportswear,,"[""l3"", ""primary_fop""]","The item is a women's graphic cami, which fits the L3 category 'Graphic Tees' under 'Tops'. The primary FoP should be 'sportswear' as it is a casual, lifestyle item, not specific to lacrosse."
"costco_clothing, luggage & handbags_mndta pant",costco,"clothing, luggage & handbags",Apparel,Bottoms,Pants,Unisex/Undefined,cheer_dance,,Apparel,Bottoms,Pants,Unisex/Undefined,,,"[""primary_fop""]","The item is classified as 'pants' under 'Bottoms' in Apparel, which does not fit the 'cheer_dance' FoP. Without specific context indicating a sport, the FoP should be null."
nordstrom_shoes_rnget knee high boot saistnx,nordstrom,shoes,Footwear,,,Men's,wrestling,training_other,Footwear,,,Women's,,,"[""gender"", ""primary_fop"", ""sub_sport""]","The item is a knee-high boot, which is a type of footwear, so L1 is correctly classified as 'Footwear'. The gender classification should be 'Women's' based on the typical market for knee-high boots. The primary FoP and sub-sport are incorrectly classified as 'wrestling' and 'training_other', which do not apply to knee-high boots. These should be 'null' as the product does not fit any specific Field of Play category."
academy_sports_men's_men's shoes + boots_men's shoes by sport_men's running shoes_nike_nike men's air max motion 2 running shoes,academy_sports,men's > men's shoes + boots > men's shoes by sport > men's running shoes,Footwear,,,Men's,training,cross_training,Footwear,,,Men's,sportswear,sportswear_running,"[""primary_fop"", ""sub_sport""]","The product is a Nike Air Max shoe, which is categorized under sportswear_running as it is a running-inspired lifestyle shoe, not a performance running shoe. The current classification of 'training' and 'cross_training' is incorrect for this type of shoe."
nordstrom_women_shoes_adidas_on cloud 5 running shoe (women),nordstrom,women > shoes,Apparel,Other Apparel,,Women's,gymnastics,,Footwear,,,Women's,running,road_running,"[""l1"", ""primary_fop"", ""sub_sport""]","The product is a running shoe, which falls under the 'Footwear' category, not 'Apparel'. The primary field of play should be 'running' with a sub-sport of 'road_running' as it is a running shoe. The gender classification 'Women's' is correct based on the web categories and item key."
champs_sports_shoes_casual sneakers_casual sneakers_jordan_jordan retro 13 - boys' grade school,champs_sports,shoes > casual sneakers > casual sneakers,Footwear,,,Kids,training,cross_training,Footwear,,,Kids,sportswear,sportswear_basketball,"[""primary_fop"", ""sub_sport""]","The product is a Jordan Retro 13, which is a lifestyle basketball-inspired sneaker, fitting the 'sportswear' FoP with 'sportswear_basketball' as the sub-sport. The current classification of 'training' and 'cross_training' is incorrect for this type of product."
hoka_shoes_womens fitness_hoka_kawana 2,hoka,shoes > womens fitness,Apparel,Other Apparel,,Women's,training,,Footwear,,,Women's,training,cross_training,"[""l1"", ""sub_sport""]","The product is a shoe, indicated by 'shoes' in the web categories and 'hoka_shoes' in the item key, so L1 should be 'Footwear'. The primary FoP 'training' is correct, but the sub-sport should be 'cross_training' as it aligns with the fitness context of the Hoka Kawana 2."
champs_sports_shoes_casual sneakers_casual sneakers_puma_puma defy mid - women's,champs_sports,shoes > casual sneakers > casual sneakers,Apparel,Other Apparel,,Women's,soccer,,Footwear,,,Women's,sportswear,,"[""l1"", ""primary_fop""]","The product is a casual sneaker, which falls under the 'Footwear' category, not 'Apparel'. The primary field of play for casual sneakers is 'sportswear', not 'soccer'. Gender classification remains 'Women's' as it matches the product description."
macys_men_polos_ralph lauren_men's  big pony custom slim fit mesh polo,macys,men > polos,Apparel,Tops,,Men's,baseball,,Apparel,Tops,Polos,Men's,sportswear,,"[""l3"", ""primary_fop""]","The product is a men's polo shirt, which fits under L3 category 'Polos' for L2 'Tops'. The primary FoP should be 'sportswear' as it is a casual/lifestyle item, not related to baseball."
scheels_bibs & overalls_sitka_men's sitka incinerator aerolite bibs,scheels,bibs & overalls,Apparel,Bottoms,Baselayer Bottoms,Men's,lacrosse,,Apparel,Jackets & Outerwear,Outerwear,Men's,hiking,,"[""l2"", ""l3"", ""primary_fop""]","The product is a bib, which falls under 'Jackets & Outerwear' rather than 'Bottoms'. The L3 category should be 'Outerwear' as bibs are typically insulated/weather-protective. The primary FoP should be 'hiking' as the product is likely intended for outdoor use, not lacrosse."
"amazon_clothing, shoes & jewelry_shoe, jewelry & watch accessories_shoe care & accessories_shoe care treatments & dyes_shoe care kits_diagonalone_6 pairs crease protectors for air force 1, jordan 1, dunk low - anti crease guard & shoe protector",amazon_leia,"clothing, shoes & jewelry > shoe, jewelry & watch accessories > shoe care & accessories > shoe care treatments & dyes > shoe care kits",Footwear,,,Unisex/Undefined,sportswear,sportswear_basketball,None,,,Unisex/Undefined,,,"[""l1"", ""primary_fop"", ""sub_sport""]","The product is a shoe care accessory, which falls under 'None' for L1 as it is not apparel or footwear. The primary FoP and sub-sport are not applicable for shoe care products, so they should be null."
"costco_clothing, luggage & handbags_hrly jogger",costco,"clothing, luggage & handbags",Apparel,Bottoms,Fleece Bottoms,Unisex/Undefined,gymnastics,,Apparel,Bottoms,Fleece Bottoms,Unisex/Undefined,sportswear,,"[""primary_fop""]","The product is a 'jogger', which aligns with 'Fleece Bottoms' under 'Bottoms' in Apparel. The current FoP classification 'gymnastics' is incorrect as joggers are typically casual or lifestyle wear, fitting the 'sportswear' FoP better."
"amazon_clothing, shoes & jewelry_women_women's shoes_women's fashion sneakers_betsey johnson_betsey johnson women's sidny sneaker",amazon_leia,"clothing, shoes & jewelry > women > women's shoes > women's fashion sneakers",Footwear,,,Women's,flip_flops,,Footwear,,,Women's,sportswear,,"[""primary_fop""]","The product is a women's fashion sneaker, which falls under the 'sportswear' category for footwear. The current classification of 'flip_flops' is incorrect as the product is not a flip-flop style sandal."
kohls_mens_clothing_tops_tops & tees_marvel_marvel_big & tall marvel retro 1941 captain america stance tee,kohls,mens > clothing > tops > tops & tees > marvel,Apparel,Tops,,Men's,training,,Apparel,Tops,Graphic Tees,Men's,sportswear,,"[""l3"", ""primary_fop""]","The product is a Marvel graphic tee, which fits the L3 category 'Graphic Tees' under L2 'Tops'. The primary FoP should be 'sportswear' as it is a casual, lifestyle item rather than performance training apparel."
kids_foot_locker_shoes_casual sneakers_casual sneakers_nike_nike air max 90  - boys' grade school,kids_foot_locker,shoes > casual sneakers > casual sneakers,Apparel,Other Apparel,,Kids,,,Footwear,,,Kids,sportswear,sportswear_running,"[""l1"", ""primary_fop"", ""sub_sport""]","The product is a Nike Air Max 90, which is a type of footwear, not apparel. It falls under the 'sportswear' category for footwear, specifically 'sportswear_running' as it is a running-inspired lifestyle shoe. The gender classification 'Kids' is correct."
macys_shoes_finish line women's shoes_lacoste_women's l002 casual court sneakers from finish line,macys,shoes > finish line women's shoes,Footwear,,,Women's,tennis,indoor_soccer,Footwear,,,Women's,sportswear,sportswear_tennis,"[""primary_fop"", ""sub_sport""]","The product is a casual court sneaker from Lacoste, which aligns with sportswear rather than performance tennis footwear. The sub-sport 'sportswear_tennis' is appropriate for court-inspired lifestyle silhouettes."
academy_sports_kids_kids shoes_kids shop by sport_kids running shoes_boys running shoes_under armour_under armour kids' pre-school pursuit ng ac running shoes,academy_sports,kids > kids shoes > kids shop by sport > kids running shoes > boys running shoes,Footwear,,,Kids,running,road_running,Footwear,,,Kids,running,road_running,[],"The current classifications are correct. The product is a kids' running shoe, which aligns with L1: Footwear, Gender: Kids, Primary FoP: running, and Sub-sport: road_running. L2 and L3 are not applicable for footwear, so they remain null."
kids_foot_locker_shoes_casual sneakers_casual sneakers_adidas_adidas originals campus 00s - boys' grade school,kids_foot_locker,shoes > casual sneakers > casual sneakers,Apparel,Other Apparel,,Men's,tennis,,Footwear,,,Kids,sportswear,sportswear_tennis,"[""l1"", ""gender"", ""primary_fop"", ""sub_sport""]","The product is a casual sneaker for boys, which falls under Footwear, not Apparel. The gender should be Kids based on the item description 'boys' grade school'. The primary FoP should be sportswear as it is a casual sneaker, and the sub-sport should be sportswear_tennis due to the 'adidas originals campus' being a lifestyle tennis-inspired silhouette."
"amazon_clothing, shoes & jewelry_boy's clothing, shoes & jewelry_boys' clothing_boys' activewear_boys' athletic pants_under armour_under armour boys' brawler 2.0 tapered pants",amazon_leia,"clothing, shoes & jewelry > boy's clothing, shoes & jewelry > boys' clothing > boys' activewear > boys' athletic pants",Apparel,Bottoms,Pants,Men's,wrestling,,Apparel,Bottoms,Pants,Kids,training,training_other,"[""gender"", ""primary_fop"", ""sub_sport""]","The product is categorized under 'boys' clothing' and 'boys' activewear', indicating it is for kids, not men's. The primary FoP should be 'training' as the product is athletic pants, suitable for general training activities, not wrestling. 'training_other' is used for sub-sport as the specific training context is unclear."
abercrombie_and_fitch_men's_clearance_bottoms_pants_abercrombie & fitch_slim taper pull-on pant,abercrombie_and_fitch,men's > clearance > bottoms > pants,Apparel,Bottoms,Other Bottoms,Men's,swimming,,Apparel,Bottoms,Pants,Men's,sportswear,,"[""l3"", ""primary_fop""]",The product is a 'slim taper pull-on pant' which fits the L3 category 'Pants' under L2 'Bottoms'. The current L3 classification 'Other Bottoms' is incorrect. The primary FoP 'swimming' is incorrect as the product is not related to swimming; it fits 'sportswear' as it is a casual/lifestyle pant.
macys_men_all men's shoes_stacy adams_men's moxley knit plain toe lace shoes,macys,men > all men's shoes,Footwear,,,Men's,basketball,basketball_other,Footwear,,,Men's,sportswear,sportswear_other,"[""primary_fop"", ""sub_sport""]","The product is a casual men's shoe, not a performance basketball shoe. Therefore, the correct Field of Play is 'sportswear' with a sub-sport of 'sportswear_other' as it doesn't fit specific sportswear sub-sports like running or basketball."
"lululemon_women's clothes_pants_lululemon_softstreme high-rise pant *regular, black",lululemon,women's clothes > pants,Apparel,Bottoms,Pants,Women's,training,,Apparel,Bottoms,Pants,Women's,sportswear,,"[""primary_fop""]","The product is a 'softstreme high-rise pant' from Lululemon, which suggests a focus on comfort and casual wear rather than performance training. The description and brand context indicate it is more aligned with 'sportswear' rather than 'training' as the primary Field of Play."
"target_clothing, shoes & accessories_men's clothing_coats & jackets_goodfellow & co_men's lightweight puffer jacket - goodfellow & co",target,"clothing, shoes & accessories > men's clothing > coats & jackets",Apparel,Jackets & Outerwear,,Men's,ski_snowboard,,Apparel,Jackets & Outerwear,Outerwear,Men's,sportswear,,"[""l3"", ""primary_fop""]","The product is a 'lightweight puffer jacket', which fits the L3 category 'Outerwear' due to its insulated/weather-protective nature. The primary FoP should be 'sportswear' as it is a lifestyle/casual item, not specifically for skiing or snowboarding."
kohls_tops_tek gear_men's tek gear® ultra soft fleece hoodie,kohls,tops,Apparel,Tops,,Men's,hiking,,Apparel,Tops,Fleece Tops,Men's,sportswear,,"[""l3"", ""primary_fop""]","The product is a fleece hoodie, which should be classified under L3 as 'Fleece Tops' according to the documentation. The primary FoP should be 'sportswear' as the item is a casual fleece hoodie, not technical hiking apparel."
"amazon_clothing, shoes & jewelry_women_women's shoes_women's loafers & slip-ons_sperry_sperry womens a/o 2-eye boat shoe",amazon_leia,"clothing, shoes & jewelry > women > women's shoes > women's loafers & slip-ons",Footwear,,,Women's,sportswear,sportswear_soccer,Footwear,,,Women's,sportswear,sportswear_other,"[""sub_sport""]","The product is a women's boat shoe, which fits the sportswear category but does not align with the specific sub-sport categories like soccer. Therefore, 'sportswear_other' is more appropriate for the sub-sport classification."
dicks_sporting_goods_licensed collections_nfl men's apparel_men's apparel_nike_nike men's philadelphia eagles sideline legend velocity green t-shirt,dicks_sporting_goods,licensed collections > nfl men's apparel > men's apparel,Apparel,Tops,,Men's,american_football,,Apparel,Tops,Athletic Shirts & Tees,Men's,american_football,,"[""l3""]","The product is a Nike men's Philadelphia Eagles sideline legend velocity green t-shirt, which fits the L3 category of 'Athletic Shirts & Tees' under 'Tops' as it is a general athletic top without graphic prints or fleece. The current L3 classification was null, so it was corrected."
academy_sports_men's_men's shoes + boots_men's casual shoes_hey dude_heydude men's wally x suede shoes,academy_sports,men's > men's shoes + boots > men's casual shoes,Footwear,,,Men's,flip_flops,,Footwear,,,Men's,sportswear,,"[""primary_fop""]","The product is a casual shoe, not a flip flop. 'Hey Dude' shoes are typically categorized as casual or lifestyle footwear, which aligns with the 'sportswear' FoP for footwear. The current classification of 'flip_flops' is incorrect."
"lululemon_accessories_bags_lululemon_everywhere belt bag 1l, flush pink",lululemon,accessories > bags,Apparel,Other Apparel,,Men's,training,,None,,,Unisex/Undefined,,,"[""l1"", ""l2"", ""gender"", ""primary_fop""]","The product is a bag, which falls under 'None' for L1 as it is an accessory. L2 should be null because L1 is 'None'. Gender is 'Unisex/Undefined' as there are no gender-specific indicators. Primary FoP is null because the product is not related to any specific field of play."
nike_unisex_nike_size 8 - jordan 12 retro fiba 2019,nike,unisex,Apparel,Track Suits,,Unisex/Undefined,basketball,,Footwear,,,Unisex/Undefined,sportswear,sportswear_basketball,"[""l1"", ""primary_fop"", ""sub_sport""]","The item 'nike_unisex_nike_size 8 - jordan 12 retro fiba 2019' is a sneaker, which falls under the L1 category 'Footwear'. The Jordan 12 Retro is a lifestyle basketball sneaker, aligning with the 'sportswear' FoP and 'sportswear_basketball' sub-sport. The current classification incorrectly lists it as 'Apparel' and 'basketball' FoP without a sub-sport."
